代號,名稱,九年股息發放率(%),九年平均配息,九年平均毛利率(%),九年平均ROE(%),九年平均EPS(元),九年平均營收成長率(%),九年平均本益比(倍),九年平均現金殖利率,label1y
5202,力新,11.11111111111111,0.05,66.63,-2.9,-0.35,2.0,-54.43,0.26,-1
5203,訊連,100.0,4.14,88.16,10.06,4.8,-8.72,19.06,4.52,-1
5205,中茂,11.11111111111111,0.03,20.43,-100.21,-2.46,405.01,-4.55,0.27,-1
5206,坤悅,66.66666666666666,0.49,27.46,13.03,1.73,38.43,9.22,3.07,-1
5209,新鼎,100.0,3.21,14.98,17.13,3.88,15.55,17.73,4.67,-1
5210,寶碩,11.11111111111111,0.03,71.57,-2.39,-0.24,-2.24,-77.08,0.16,1
5211,蒙恬,77.77777777777779,0.57,66.96,3.59,0.62,-10.56,31.61,2.91,1
5212,凌網,100.0,1.08,50.52,8.97,1.11,6.37,43.74,2.22,-1
5213,亞昕,88.88888888888889,1.06,33.01,10.44,2.09,49.23,10.91,4.65,1
5302,太欣,11.11111111111111,0.06,40.42,-3.0,-0.26,-23.68,-49.62,0.47,1
5306,桂盟,100.0,3.27,38.63,23.32,6.69,94.95,29.97,1.63,-1
5309,系統,11.11111111111111,0.0,11.77,-9.77,-0.69,-2.33,-64.49,0.0,-1
5310,天剛,44.44444444444444,0.03,19.73,-16.8,-0.48,0.01,-32.92,0.19,1
5312,寶島科,100.0,3.8,59.15,15.78,5.54,4.8,10.88,6.3,-1
5314,世紀,11.11111111111111,0.02,41.59,-11.36,-0.71,-17.36,-8.15,0.35,-1
5315,光聯,55.55555555555556,0.74,13.72,10.48,1.11,2.58,15.81,4.22,-1
5324,士開,11.11111111111111,0.11,45.98,18.13,1.24,297.85,7.65,1.16,-1
5328,華容,11.11111111111111,0.03,18.68,0.19,0.02,-6.32,735.0,0.2,1
5340,建榮,11.11111111111111,0.01,5.67,0.31,0.03,3.97,1275.0,0.03,-1
5345,天揚,11.11111111111111,0.03,22.83,-17.28,-0.98,155.19,-5.82,0.53,-1
5347,世界,100.0,2.74,32.67,18.33,3.05,9.43,53.77,1.67,1
5348,系通,0.0,0.0,18.49,-10.12,-0.52,-10.26,-17.35,0.0,-1
5351,鈺創,11.11111111111111,0.02,13.38,-10.0,-0.79,-4.87,-110.89,0.02,1
5355,佳總,11.11111111111111,0.04,10.84,1.57,0.15,-4.08,44.67,0.6,-1
5356,協益,100.0,3.28,11.69,12.08,4.56,-7.49,6.77,10.63,1
5371,中光電,88.88888888888889,2.44,15.86,7.4,3.42,-15.02,24.56,2.9,1
5381,合正,11.11111111111111,0.02,14.06,-4.07,-0.91,-18.04,-6.59,0.33,-1
5383,金利,22.22222222222222,0.08,9.8,-7.92,-1.04,0.4,-39.28,0.2,1
5386,青雲,88.88888888888889,0.58,7.18,21.43,2.32,24.4,20.75,1.2,-1
5388,中磊,100.0,3.2,14.86,17.14,4.5,13.59,14.67,4.85,-1
5392,能率,100.0,0.64,14.68,3.09,1.02,-1.51,24.07,2.61,-1
5398,慕康生醫,44.44444444444444,0.09,28.27,-2.65,-0.42,7.82,-47.14,0.45,-1
5403,中菲,100.0,2.52,28.75,16.77,3.14,11.86,21.5,3.73,1
5425,台半,100.0,1.96,32.44,14.5,2.59,5.49,29.92,2.53,1
5426,振發,66.66666666666666,0.62,19.16,4.44,0.72,0.59,16.74,5.15,-1
5438,東友,100.0,0.82,22.56,6.22,1.06,-7.26,16.75,4.62,1
5439,高技,100.0,1.95,17.93,13.38,2.32,2.92,25.91,3.24,1
5443,均豪,88.88888888888889,1.04,25.13,6.87,0.95,2.24,36.68,2.98,-1
5450,寶聯,11.11111111111111,0.03,26.19,-1.85,-0.22,9.52,-77.73,0.18,-1
5452,佶優,88.88888888888889,0.21,8.73,2.45,0.31,-5.8,67.74,1.0,1
5455,昇益開發,11.11111111111111,0.0,-1.64,-44.33,-1.2,124.2,-23.21,0.0,1
5457,宣德,33.33333333333333,0.34,15.84,8.26,0.9,30.25,83.67,0.45,-1
5460,同協,100.0,0.59,23.7,5.25,0.69,-5.05,18.91,4.52,1
5464,霖宏,77.77777777777779,0.87,6.92,3.48,0.65,-4.91,38.31,3.49,1
5469,瀚宇博,88.88888888888889,0.83,12.75,4.95,2.53,2.21,17.81,1.84,-1
5475,德宏,11.11111111111111,0.06,2.3,-17.59,-1.23,-13.83,-22.56,0.22,1
5478,智冠,100.0,2.59,33.66,7.0,3.86,3.18,24.2,2.77,-1
5484,慧友,11.11111111111111,0.0,23.31,-9.86,-0.85,-18.34,-18.71,0.0,1
5488,松普,22.22222222222222,0.16,8.93,-1.63,-0.22,-8.67,-41.36,1.76,1
5489,彩富,100.0,2.49,38.2,15.33,3.11,0.67,11.64,6.88,1
5490,同亨,100.0,2.35,35.49,14.83,2.62,2.19,10.52,8.53,-1
5493,三聯,100.0,1.89,20.29,12.42,2.77,7.31,15.45,4.42,-1
5508,永信建,100.0,4.65,37.89,23.26,5.42,18.02,11.94,7.19,1
5511,德昌,100.0,1.67,13.42,15.05,3.83,2.11,7.68,5.68,-1
5512,力麒,100.0,0.54,30.2,5.18,0.92,35.71,10.12,5.8,-1
5514,三豐,88.88888888888889,0.41,53.98,13.89,1.68,372.46,12.68,1.92,-1
5515,建國,100.0,0.65,7.77,5.54,0.88,-2.06,15.85,4.66,-1
5516,雙喜,22.22222222222222,0.06,3.04,0.62,0.1,2.13,138.5,0.43,-1
5519,隆大,100.0,0.92,20.53,15.51,2.46,7.97,8.66,4.32,1
5520,力泰,100.0,1.91,8.93,7.75,2.08,2.92,24.62,3.73,1
5522,遠雄建,100.0,3.19,31.19,10.88,5.15,10.2,12.58,4.92,1
5525,順天,100.0,1.08,27.75,10.86,1.88,25.92,15.29,3.76,1
5529,志嘉,33.33333333333333,0.28,24.3,-1.53,0.86,181.09,20.47,1.59,1
5530,龍巖,100.0,2.48,68.72,16.37,4.32,0.59,10.16,5.65,-1
